设备,mac地址,会话文件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allure-speaker,b0:f1:ec:d4:26:ae,192.168.20.132_5353_224.0.0.251_5353_17_____49.csv,"267,1,0.0,udp","267,1,0.0006501674652099,udp","267,1,1.0025198459625244,udp","267,1,0.0006630420684814,udp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192.168.20.103_30000_40.76.71.185_5671_6_____450.csv,"875,1,0.0,tcp","139,-1,0.0909671783447265,tcp","779,1,69.01701617240906,tcp","139,-1,0.1062638759613037,tcp","859,1,0.1234281063079834,tcp","139,-1,0.0065398216247558,tcp","875,1,97.55436706542967,tcp","139,-1,0.0944230556488037,tcp","779,1,19.19331693649292,tcp","139,-1,0.0958540439605712,tcp","779,1,13.681372880935667,tcp","139,-1,0.1161730289459228,tcp","123,-1,104.82412791252136,tcp","779,1,0.7608640193939209,tcp","139,-1,0.1006951332092285,tcp","123,-1,104.85958909988403,tcp","123,1,14.92259693145752,tcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightify-hub,84:18:26:7c:1a:56,192.168.20.123_5353_224.0.0.251_5353_17_____211.csv,"260,1,0.0,udp","260,1,0.0006799697875976,udp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192.168.20.123_68_192.168.20.254_67_17_____181.csv,"350,1,0.0,dhcp","343,-1,0.2077388763427734,dhcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192.168.20.123_49157_52.59.201.232_443_17_____59.csv,"82,1,0.0,udp","92,-1,0.0149028301239013,udp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
